Source;Target;Type
15;28;Directed
15;68;Directed
15;29;Directed
15;69;Directed
15;30;Directed
74;37;Directed
74;46;Directed
74;1;Directed
74;47;Directed
74;2;Directed
74;48;Directed
74;49;Directed
74;5;Directed
74;50;Directed
74;33;Directed
74;6;Directed
74;39;Directed
74;51;Directed
74;7;Directed
74;52;Directed
74;34;Directed
74;54;Directed
74;55;Directed
74;10;Directed
74;43;Directed
74;91;Directed
74;96;Directed
74;97;Directed
74;58;Directed
74;35;Directed
74;12;Directed
74;13;Directed
74;94;Directed
74;14;Directed
74;15;Directed
74;37;Directed
74;46;Directed
74;2;Directed
74;48;Directed
74;6;Directed
74;39;Directed
74;51;Directed
74;7;Directed
74;10;Directed
74;91;Directed
74;13;Directed
74;14;Directed
74;16;Directed
74;83;Directed
74;17;Directed
74;18;Directed
74;19;Directed
74;60;Directed
74;61;Directed
74;62;Directed
74;20;Directed
74;80;Directed
74;64;Directed
74;65;Directed
74;21;Directed
74;81;Directed
74;95;Directed
74;68;Directed
16;0;Directed
16;37;Directed
16;46;Directed
16;47;Directed
16;2;Directed
16;71;Directed
16;48;Directed
16;6;Directed
16;9;Directed
16;53;Directed
16;34;Directed
16;55;Directed
16;10;Directed
16;13;Directed
16;59;Directed
16;14;Directed
16;15;Directed
16;34;Directed
16;17;Directed
16;18;Directed
16;45;Directed
16;64;Directed
16;65;Directed
16;21;Directed
16;81;Directed
16;26;Directed
83;2;Directed
83;48;Directed
83;3;Directed
83;5;Directed
83;33;Directed
83;6;Directed
83;51;Directed
83;7;Directed
83;52;Directed
83;53;Directed
83;34;Directed
83;55;Directed
83;73;Directed
83;43;Directed
83;57;Directed
83;96;Directed
83;58;Directed
83;59;Directed
83;74;Directed
83;3;Directed
83;6;Directed
83;52;Directed
83;73;Directed
83;17;Directed
83;18;Directed
83;19;Directed
83;75;Directed
83;98;Directed
83;20;Directed
83;80;Directed
83;21;Directed
83;81;Directed
83;28;Directed
83;68;Directed
83;82;Directed
17;0;Directed
17;46;Directed
17;1;Directed
17;47;Directed
17;32;Directed
17;2;Directed
17;48;Directed
17;49;Directed
17;50;Directed
17;33;Directed
17;6;Directed
17;8;Directed
17;53;Directed
17;54;Directed
17;55;Directed
17;10;Directed
17;56;Directed
17;43;Directed
17;57;Directed
17;58;Directed
17;12;Directed
17;13;Directed
17;59;Directed
17;14;Directed
17;15;Directed
17;74;Directed
17;16;Directed
17;83;Directed
17;10;Directed
17;14;Directed
17;18;Directed
17;19;Directed
17;60;Directed
17;61;Directed
17;62;Directed
17;20;Directed
17;63;Directed
17;64;Directed
17;65;Directed
17;21;Directed
17;23;Directed
17;26;Directed
17;28;Directed
17;68;Directed
18;0;Directed
18;31;Directed
18;37;Directed
18;46;Directed
18;70;Directed
18;1;Directed
18;47;Directed
18;2;Directed
18;48;Directed
18;38;Directed
18;3;Directed
18;4;Directed
18;49;Directed
18;50;Directed
18;33;Directed
18;6;Directed
18;39;Directed
18;51;Directed
18;7;Directed
18;52;Directed
18;8;Directed
18;53;Directed
18;34;Directed
18;54;Directed
18;55;Directed
18;10;Directed
18;73;Directed
18;84;Directed
18;11;Directed
18;57;Directed
18;91;Directed
18;58;Directed
18;12;Directed
18;13;Directed
18;59;Directed
18;94;Directed
18;14;Directed
18;15;Directed
18;74;Directed
18;16;Directed
18;83;Directed
18;17;Directed
18;70;Directed
18;3;Directed
18;4;Directed
18;8;Directed
18;10;Directed
18;73;Directed
18;14;Directed
18;61;Directed
18;62;Directed
18;76;Directed
18;98;Directed
18;77;Directed
18;20;Directed
18;40;Directed
18;80;Directed
18;64;Directed
18;65;Directed
18;21;Directed
18;22;Directed
18;23;Directed
18;89;Directed
18;36;Directed
18;26;Directed
18;27;Directed
18;41;Directed
18;28;Directed
18;68;Directed
18;29;Directed
18;30;Directed
45;42;Directed
45;1;Directed
45;71;Directed
45;38;Directed
45;5;Directed
45;39;Directed
45;7;Directed
45;11;Directed
45;44;Directed
45;13;Directed
45;15;Directed
45;16;Directed
45;11;Directed
45;77;Directed
45;23;Directed
45;41;Directed
45;28;Directed
19;0;Directed
19;48;Directed
19;3;Directed
19;49;Directed
19;33;Directed
19;52;Directed
19;53;Directed
19;34;Directed
19;55;Directed
19;43;Directed
19;11;Directed
19;91;Directed
19;97;Directed
19;35;Directed
19;12;Directed
19;94;Directed
19;15;Directed
19;74;Directed
19;83;Directed
19;17;Directed
19;3;Directed
19;11;Directed
19;97;Directed
19;35;Directed
19;62;Directed
19;98;Directed
19;20;Directed
19;80;Directed
19;65;Directed
19;21;Directed
19;23;Directed
19;68;Directed
60;46;Directed
60;47;Directed
60;32;Directed
60;3;Directed
60;5;Directed
60;6;Directed
60;53;Directed
60;34;Directed
60;56;Directed
60;58;Directed
60;35;Directed
60;12;Directed
60;59;Directed
60;74;Directed
60;17;Directed
60;3;Directed
60;34;Directed
60;56;Directed
60;20;Directed
60;63;Directed
60;80;Directed
60;21;Directed
60;66;Directed
61;46;Directed
61;47;Directed
61;48;Directed
61;5;Directed
61;6;Directed
61;7;Directed
61;54;Directed
61;55;Directed
61;10;Directed
61;56;Directed
61;73;Directed
61;43;Directed
61;57;Directed
61;58;Directed
61;12;Directed
61;59;Directed
61;74;Directed
61;17;Directed
61;18;Directed
61;7;Directed
61;10;Directed
61;73;Directed
61;20;Directed
61;64;Directed
61;21;Directed
61;66;Directed
61;28;Directed
61;68;Directed
61;69;Directed
61;82;Directed
75;31;Directed
75;1;Directed
75;71;Directed
75;3;Directed
75;5;Directed
75;96;Directed
75;85;Directed
75;59;Directed
75;83;Directed
75;31;Directed
75;3;Directed
75;5;Directed
75;96;Directed
75;59;Directed
75;86;Directed
75;63;Directed
75;23;Directed
75;88;Directed
75;90;Directed
75;27;Directed
75;28;Directed
75;82;Directed
75;30;Directed
62;37;Directed
62;46;Directed
62;47;Directed
62;48;Directed
